lng,lat,Status
,,
-43.091478604,-22.898782246,PAGO COM JUROS/PAGO PARCIAL
-43.082423935,-22.851699101,QUITADO
-43.017012019,-22.872609362,PAGO COM JUROS/PAGO PARCIAL
-43.082730373,-22.863605381,SOLICITAÇÃO REPROVADA
-43.082420706,-22.851703578,INADIMPLENTE
-43.037076686,-22.880091550,QUITADO
-43.017360479,-22.873521957,SOLICITAÇÃO REPROVADA
-43.097388113,-22.931635965,SOLICITAÇÃO REPROVADA
-43.028128644,-22.883611526,SOLICITAÇÃO REPROVADA
-43.034574304,-22.878230319,PAGO COM JUROS/PAGO PARCIAL
-43.100548123,-22.935872720,SOLICITAÇÃO REPROVADA
-43.038710555,-22.944387251,PAGO COM JUROS/PAGO PARCIAL
-43.096441108,-22.872440708,PAGO COM JUROS/PAGO PARCIAL
-43.067912031,-22.905388716,SOLICITAÇÃO REPROVADA
-42.995168554,-22.807998579,SOLICITAÇÃO REPROVADA
-43.100391440,-22.934500230,PAGO COM JUROS/PAGO PARCIAL
-43.038853853,-22.813248115,QUITADO
-43.017012614,-22.872608276,PAGO COM JUROS/PAGO PARCIAL
-43.097379955,-22.931632767,INADIMPLENTE
-43.096684714,-22.934821694,PAGO COM JUROS/PAGO PARCIAL
-43.096684714,-22.934821694,PAGO COM JUROS/PAGO PARCIAL
-43.101350088,-22.937475138,INADIMPLENTE
-43.064528627,-22.901089472,QUITADO
-43.100360242,-22.934537924,QUITADO
-43.110412856,-22.893765825,PAGO COM JUROS/PAGO PARCIAL
-43.113978925,-22.900423709,PAGO COM JUROS/PAGO PARCIAL
-43.033658256,-22.875860824,CANCELADO
-43.097993878,-22.934381115,INADIMPLENTE
-43.101250603,-22.936106001,PAGO COM JUROS/PAGO PARCIAL
-43.061982161,-22.846002466,PAGO COM JUROS/PAGO PARCIAL
-43.114586726,-22.872870782,PAGO COM JUROS/PAGO PARCIAL
-43.110420664,-22.893776457,QUITADO
-43.083619975,-22.858283544,QUITADO
-43.123100583,-22.893043057,PAGO COM JUROS/PAGO PARCIAL
-43.081213181,-22.897123077,PAGO COM JUROS/PAGO PARCIAL
0.000000000,0.000000000,PAGO COM JUROS/PAGO PARCIAL
-43.096684530,-22.934822239,QUITADO
-43.110410244,-22.893761671,QUITADO
-43.100360242,-22.934537924,PAGO COM JUROS/PAGO PARCIAL
-43.101347936,-22.937477207,SOLICITAÇÃO REPROVADA
-43.099822470,-22.934779337,PAGO COM JUROS/PAGO PARCIAL
-43.100040592,-22.903824237,PAGO COM JUROS/PAGO PARCIAL
-43.097382932,-22.931637239,QUITADO
-43.081039275,-22.882111464,PAGO COM JUROS/PAGO PARCIAL
-43.101040250,-22.935674136,PAGO COM JUROS/PAGO PARCIAL
-43.064382419,-22.886948211,QUITADO
-43.052680229,-22.902933275,PAGO COM JUROS/PAGO PARCIAL
-43.118927049,-22.895388072,INADIMPLENTE
-43.036689348,-22.801818137,PAGO COM JUROS/PAGO PARCIAL
0.000000000,0.000000000,QUITADO
-43.110414429,-22.893767326,SOLICITAÇÃO REPROVADA
0.000000000,0.000000000,SOLICITAÇÃO REPROVADA
-43.112757321,-22.935504400,PAGO COM JUROS/PAGO PARCIAL
-43.083625516,-22.858287133,PAGO COM JUROS/PAGO PARCIAL
-43.025085035,-22.811056074,PAGO COM JUROS/PAGO PARCIAL
-43.016285963,-22.823203321,PAGO COM JUROS/PAGO PARCIAL
-43.082184176,-22.870721158,QUITADO
-43.121292085,-22.900944107,PAGO COM JUROS/PAGO PARCIAL
-43.126232747,-22.883533770,PAGO COM JUROS/PAGO PARCIAL
-43.123369400,-22.891280577,CANCELADO
